6,0,7,10,10,5,1,8,4,1,9,10,3,2,9,10,11
5,0,8,10,9,1,4,10,4,1,9,10,3,2,9,10,11
4,1,8,10,9,2,2,9,3,2,9,10,3,2,9,10,11
4,1,9,10,9,2,3,9,4,1,9,10,3,2,9,10,11
6,0,8,10,10,5,0,8,4,1,9,10,3,2,9,10,11
8,0,6,10,10,7,0,6,5,1,8,10,5,1,8,10,11
4,1,9,10,10,4,1,9,4,1,9,10,4,1,9,10,11
6,0,8,10,10,4,1,9,4,1,9,10,3,2,9,10,11
3,2,9,10,8,1,5,10,4,1,9,10,3,2,9,10,11
5,0,8,10,9,2,3,9,4,1,9,10,2,2,9,10,11
8,0,6,10,10,6,0,7,4,1,9,10,3,2,9,10,11
5,1,8,10,10,4,1,9,4,1,8,10,3,2,9,10,11
5,1,8,10,9,1,4,10,4,1,9,10,2,2,9,10,11
2,2,9,10,9,1,4,10,3,2,9,10,2,2,9,10,11
9,1,4,10,10,8,0,5,3,2,9,10,3,2,9,10,11
8,1,4,10,10,9,2,2,4,1,9,10,5,1,8,10,11
8,0,6,10,10,7,0,6,3,2,9,10,5,1,8,10,11
6,0,7,10,10,5,1,8,4,1,9,10,4,1,9,10,11
8,1,4,10,10,7,0,7,5,1,8,10,4,1,9,10,11
6,0,7,10,10,7,0,7,4,1,9,10,4,1,9,10,11
8,0,6,10,10,4,1,9,5,1,8,10,3,2,9,10,11
6,0,7,10,10,6,0,7,4,1,9,10,5,1,8,10,11
4,1,9,10,10,5,0,8,2,2,9,10,3,2,9,10,11
6,0,7,10,9,3,2,9,5,1,8,10,5,0,8,10,11
5,1,8,10,10,4,1,9,5,0,8,10,3,2,9,10,11
6,0,8,10,9,1,4,10,4,1,8,10,3,2,9,10,11
6,0,8,10,10,4,1,9,4,1,8,10,5,1,8,10,11
7,0,7,10,10,5,1,8,4,1,9,10,3,2,9,10,11
7,0,7,10,10,4,1,9,4,1,9,10,3,2,9,10,11
4,1,8,10,9,2,2,9,4,1,8,10,3,2,9,10,11
5,1,8,10,9,2,3,9,4,1,8,10,3,2,9,10,11
8,0,6,10,10,4,1,9,4,1,9,10,5,1,8,10,11
7,0,7,10,10,8,1,5,4,1,9,10,2,2,9,10,11
8,0,5,10,10,9,1,4,4,1,9,10,3,2,9,10,11
5,0,8,10,9,2,3,9,4,1,9,10,2,2,9,10,11
6,0,8,10,9,2,2,9,3,2,9,10,3,2,9,10,11
8,0,5,10,10,5,1,8,3,2,9,10,3,2,9,10,11
5,0,8,10,9,2,3,9,4,1,9,10,2,2,9,10,11
3,2,9,10,9,1,4,10,3,2,9,10,3,2,9,10,11
6,0,7,10,10,4,1,9,4,1,9,10,3,2,9,10,11
6,0,8,10,10,5,1,8,3,2,9,10,4,1,9,10,11
3,2,9,10,5,1,8,10,3,2,9,10,4,1,9,10,11
3,2,9,10,9,2,2,9,3,2,9,10,3,2,9,10,11
6,0,8,10,10,5,1,8,4,1,8,10,6,0,7,10,11
6,0,7,10,10,7,0,7,5,0,8,10,5,1,8,10,11
5,1,8,10,9,1,4,10,4,1,9,10,4,1,9,10,11
6,0,7,10,10,7,0,7,4,1,8,10,3,2,9,10,11
4,1,9,10,9,2,2,9,4,1,9,10,3,2,9,10,11
7,0,6,10,10,6,0,7,4,1,9,10,3,2,9,10,11
6,0,8,10,9,3,2,9,4,1,9,10,3,2,9,10,11
10,7,0,7,9,2,2,9,10,5,1,8,9,3,2,9,16
10,4,1,9,9,2,2,9,10,4,1,9,10,4,1,9,16
10,6,0,7,9,2,3,9,10,5,0,8,10,4,1,9,16
8,0,5,10,5,1,8,10,9,3,2,9,9,2,2,9,16
10,4,1,8,8,0,5,10,10,4,1,8,10,4,1,9,16
8,1,4,10,8,0,5,10,10,4,1,9,9,2,2,9,16
9,3,2,9,9,3,2,9,10,5,1,8,10,5,1,8,16
5,0,8,10,5,0,8,10,8,1,4,10,8,1,5,10,16
10,5,1,8,8,1,5,10,10,4,1,8,9,2,2,9,16
7,0,7,10,7,0,6,10,9,2,3,9,9,3,2,9,16
6,0,8,10,2,2,9,10,9,1,4,10,8,1,5,10,16
9,2,3,9,9,1,4,10,9,3,2,9,10,4,1,9,16
9,2,3,9,4,1,9,10,9,3,2,9,8,1,5,10,16
9,2,2,9,8,1,5,10,10,5,1,8,9,3,2,9,16
8,1,5,10,8,1,5,10,9,2,3,9,9,2,2,9,16
10,5,0,8,9,2,3,9,10,4,1,9,9,3,2,9,16
8,1,5,10,9,1,4,10,10,4,1,9,10,4,1,9,16
9,1,4,10,7,0,6,10,9,3,2,9,8,1,5,10,16
9,3,2,9,4,1,9,10,10,4,1,9,10,4,1,9,16
8,1,5,10,6,0,7,10,9,2,3,9,9,1,4,10,16
9,2,3,9,9,2,2,9,10,5,0,8,10,6,0,7,16
9,2,2,9,8,0,5,10,9,3,2,9,9,2,2,9,16
9,3,2,9,6,0,7,10,10,5,0,8,10,4,1,9,16
9,2,2,9,8,0,5,10,10,5,1,8,9,2,3,9,16
10,4,1,9,8,1,5,10,9,3,2,9,9,2,2,9,16
10,5,1,8,9,1,4,10,10,4,1,9,9,3,2,9,16
10,6,0,8,8,0,5,10,10,5,0,8,9,3,2,9,16
10,5,0,8,9,1,4,10,10,6,0,8,10,5,0,8,16
9,2,3,9,8,1,5,10,10,4,1,9,10,4,1,9,16
8,1,4,10,7,0,7,10,9,1,4,10,8,1,5,10,16
8,0,5,10,5,0,8,10,9,2,3,9,9,1,4,10,16
8,0,5,10,5,0,8,10,9,2,3,9,8,1,5,10,16
9,1,4,10,7,0,6,10,9,2,3,9,9,2,3,9,16
9,2,3,9,7,0,6,10,10,6,0,8,10,5,1,8,16
8,0,6,10,9,1,4,10,10,4,1,9,10,4,1,9,16
9,2,3,9,10,4,1,9,10,4,1,9,10,5,1,8,16
10,5,0,8,9,2,3,9,10,5,1,8,10,4,1,9,16
9,3,2,9,5,1,8,10,10,4,1,9,9,2,2,9,16
8,1,5,10,9,1,4,10,9,3,2,9,9,2,2,9,16
8,0,5,10,6,0,7,10,9,3,2,9,9,2,2,9,16
8,0,5,10,7,0,7,10,10,4,1,9,9,2,3,9,16
9,2,2,9,9,1,4,10,10,4,1,8,9,3,2,9,16
9,1,4,10,7,0,7,10,9,3,2,9,9,2,3,9,16
